수집월,제목,작성일,언론사,링크,본문
2026-05,"선우용여, '임신 강요' 지적 당한 후…""불륜이든 뭐든 애 팍팍 낳아야"" ...",2시간 전,엑스포츠뉴스,https://www.xportsnews.com/article/2151411,[외부 언론사 기사 - 본문 수집 제외]
2026-05,[Who Is ?] 조현준 효성그룹 회장 겸 효성 대표이사,2시간 전,비즈니스포스트,https://www.businesspost.co.kr/BP?command=article_view&num=437769,[외부 언론사 기사 - 본문 수집 제외]
2026-05,[장욱희의 중장년 취업에세이] 장기실직 중장년 다시 노동시장으로 돌아...,2시간 전,뉴스핌,https://www.newspim.com/news/view/20260520000103,[외부 언론사 기사 - 본문 수집 제외]
2026-05,베이비붐 세대에 집중하라,3시간 전,브라보마이라이프,https://bravo.etoday.co.kr/view/atc_view/19112,[외부 언론사 기사 - 본문 수집 제외]
2026-05,"李, 오늘 대통령 자문회의·위원회 간담회 주재…1년 성과 점검",2026-05-21 06:01:17,이데일리,http://www.edaily.co.kr/news/newspath.asp?newsid=01810566645451216,"‘함께 그리는 대한민국의 미래’ 슬로건 아래 열려AI·저출산·기후위기 등 대통령 소속 위원회 한자리[이데일리 황병서 기자] 이재명 대통령이 오늘(21일) 오전 청와대에서 대통령 자문회의·위원회 간담회를 주재한다. 이재명 대통령이 20일 청와대에서 열린 국무회의 겸 비상경제점검회의에서 발언하고 있다.(사진=연합뉴스)‘함께 그리는 대한민국의 미래’를 슬로건으로 열리는 이번 간담회에서는 국가적 중요 과제를 수행하는 대통령 자문회의와 대통령 소속 위원회의 업무 현황 및 향후 계획 등을 논의한다.이번 간담회에는 민주평화통일자문회의, 국민경제자문회의, 국가과학기술자문회의 등 3개 대통령 자문회의와 함께, 국가인공지능전략위원회, 미래국방전략위원회, 국민생명안전위원회, 국민통합위원회, 기본사회위원회, 지방시대위원회, 대중문화교류위원회, 아시아문화중심도시조성위원회, 경제사회노동위원회, 저출산고령사회위원회, 국가기후위기대응위원회, 국가물관리위원회, 농어업·농어촌특별위원회, 국가건축정책위원회, 규제합리화위원회, 국가우주위원회 등 16개 대통령 소속 위원회가 참석한다.정부에서는 정부위원회 관리·정비를 총괄하는 윤호중 행정안전부 장관이 참석하며, 청와대에서는 비서실장과 안보실장, 정책실장, 정무수석, 경청통합수석, 경제수석, 사회수석, 국가안보실 제2차장 등이 자리할 예정이다.한편, 간담회는 국민의례와 대통령 모두발언 이후 비공개로 전환해 진행된다."
2026-05,"日 손보 3사, 주주환원 대폭 확대… 정책보유주 매각은 30% 축소 전망",3시간 전,글로벌이코노믹,https://www.g-enews.com/view.php?ud=202605210054562909e7e8286d56_1,[외부 언론사 기사 - 본문 수집 제외]
2026-05,"대통령 직속 19개 기구 한자리…李, 1년 성과 보고 받는다",2026-05-21 05:05:00,뉴스1,https://www.news1.kr/politics/president/6173237,"李대통령, 자문회의·위원회와 첫 합동 간담회…사실상 업무보고이석연 통합위원장 ""靑 행정관 무례""…간담회 앞두고 불협화음 이재명 대통령이 20일 청와대에서 열린 제22회 국무회의 겸 제9차 비상경제점검회의를 주재하고 있다. 2026.5.20 ⓒ 뉴스1 허경 기자(서울=뉴스1) 김근욱 기자 = 이재명 대통령이 21일 오전 '대통령 소속 자문회의·위원회 간담회'를 주재한다. 취임 1주년을 앞두고 각 위원회의 지난 1년 성과를 점검하고, 향후 국정 운영 방향을 재정비하기 위한 자리로 풀이된다.청와대에 따르면 이 대통령은 이번 간담회에서 국가적 중요과제를 수행하는 대통령 자문회의와 대통령 소속 위원회의 업무 현황과 향후 계획 등을 논의한다.참석 대상은 총 19개다. 민주평화통일자문회의·국민경제자문회의·국가과학기술자문회의 등 3개 자문회의와 국가인공지능전략위원회·기본사회위원회·대중문화교류위원회·경제사회노동위원회·저출산고령사회위원회·국민통합위원회 등 16개 위원회 등이다.정부 출범 이후 대통령이 자문기구와 직속 위원회를 한자리에 모아 간담회를 여는 것은 이번이 처음이다. 형식은 간담회지만, 사실상 1년 성과를 점검하는 업무보고 성격이 강하다는 평가다.다만 간담회를 하루 앞두고 국민통합위와 청와대 간 불협화음이 불거지면서, 이날 관련 대화가 오갈지에도 이목이 쏠린다.이석연 국민통합위원장은 청와대 행정관이 이번 간담회를 이유로 자료 제출을 강요했다며 ""40년이 넘는 공직 생활 동안 이와 같은 무례한 사례를 경험한 적이 없다""고 공개 비판했다.청와대는 언론공지를 통해 ""이 위원장이 제기한 사실에 대해 내부적 검토를 거쳐 파악할 예정""이라고 밝혔다."
2026-05,[인사],2026-05-21 05:04:14,서울신문,https://www.seoul.co.kr/news/peoples/movement/2026/05/21/20260521023004?wlog_tag3=naver,■보건복지부 ◇국장급 파견△저출산고령사회위원회 사무처 배경택◇국장급 전보△복지정책관 김문식
2026-05,"[창간기획] 손해보험업권, 지자체와 풍수해보험 쏜다… 소상공인·車·저...",4시간 전,글로벌이코노믹,https://www.g-enews.com/view.php?ud=202605201528553760a6e8311f64_1,[외부 언론사 기사 - 본문 수집 제외]
2026-05,[인사]보건복지부,2026-05-21 04:32:50,동아일보,https://www.donga.com/news/People/article/all/20260521/133963847/2,◇보건복지부 ▽국장급 △복지정책관 김문식 △저출산고령사회위원회 사무처 파견 배경택
2026-05,"‘김용건 며느리’ 황보라, 별난 아들에 “육아 나랑 안 맞아” 솔직 고...",8시간 전,헤럴드뮤즈,https://www.heraldmuse.com/article/10742151?ref=naver,[외부 언론사 기사 - 본문 수집 제외]
2026-05,"“한국, ‘인구학적 자살’ 상태… 이민 확대 추진해야”",2026-05-21 00:32:13,조선일보,https://www.chosun.com/economy/economy_general/2026/05/21/BSEC6DFOUFAANIBZTFW6CXVGGQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,"[제17회 아시안리더십콘퍼런스]노벨 경제학상 수상조엘 모키어 교수 조선일보 주최로 제17회 아시안리더십콘퍼런스(ALC)가 열린 20일 서울 중구 신라호텔에서 2025년 노벨 경제학상 수상자인 조엘 모키어 미 노스웨스턴대 교수가 본지와 인터뷰하고 있다. /장련성 기자 “한국에는 매우 이상한 점이 하나 있습니다. 바로 ‘인구학적 자살(demographic suicide)’을 하고 있다는 점입니다. 한국은 경제적 기적을 이룬 나라입니다. 하지만 아이를 계속 낳지 않는다면 이런 기적이 이어질지 우려됩니다.”지난해 노벨 경제학상 공동 수상자인 조엘 모키어 미국 노스웨스턴대 교수는 20일 서울 신라호텔에서 열린 아시안리더십컨퍼런스(ALC) 참석차 방한해 본지와 인터뷰를 갖고, 한국 경제를 “기적 같은 성공 사례”라고 평하면서도 저출산과 높은 대외 의존도를 가장 큰 위험 요인으로 꼽았다. 그래픽=김성규 저출산 문제¦ “이민 확대 논의 불가피” 그는 한국 경제의 최대 구조적 위험으로 인구 문제를 꼽았다. 모키어 교수는 “이처럼 번영한 나라에서 사람들이 거의 아이를 낳지 않기로 했다는 점이 매우 충격적”이라며 “현재 추세가 이어지면 40년 뒤 한국 인구는 지금의 절반 수준까지 줄어들 수 있다”고 했다. 특히 단순한 저출산을 넘어 급속한 고령화가 한국 경제를 흔들 것으로 봤다. 그는 “2001년 한국의 중위 연령은 32세였는데 지금은 46세까지 올라갔다”며 “25년 만에 이렇게 빠르게 ‘노인의 나라’가 된 사례는 역사적으로도 거의 없다”고 말했다.모키어 교수는 인공지능(AI) 혁명과 로봇 기술이 노동력 부족을 일부 보완할 수는 있지만, 고령화 자체를 해결하기는 어렵다고 봤다. 그는 “노인은 계속 늘고 일하는 사람은 계속 줄어드는 구조는 경제를 떠받치기에 지속 가능하지 않다”며 “AI 혁명으로 생산성이 높아진다 해도 인구 감소 충격 자체를 상쇄하긴 어렵다”고 했다.이에 결국 이민 확대 논의가 불가피할 것이란 게 그의 생각이다. 모키어 교수는 “방글라데시·파키스탄·인도네시아 등에서 한국처럼 번영한 나라로 오고 싶어 하는 사람이 수백만 명은 될 것”이라며 “다만 한국의 사회와 문화가 바뀔 수 있는 결정이란 점에서 어려운 선택지가 될 수는 있다”고 했다.수출 과의존 문제¦ “서비스 생산성 높여야” 한국 경제의 높은 대외 의존도도 우려 요인으로 꼽혔다. 그는 “한국은 수출 의존도가 큰데 최근 들어 세계가 항상 충격과 불확실성으로 가득 차 있다는 게 문제”라고 했다. 모키어 교수는 “최근 이란 전쟁과 우크라이나 전쟁 등 지정학적 충격이 이어지고 있다”며 “수출 의존도가 높은 경제는 자신이 통제할 수 없는 외부 변수에 취약할 수밖에 없다”고 했다. 그러면서 “한국은 제조업에 비해 서비스업 생산성이 상당히 낮다고 알고 있다. 한국 경제가 좀 더 내수 경쟁력을 강화하고, 서비스 산업 생산성을 높이는 방향으로 가는 게 좋다고 생각한다”고 조언했다.“AI시대에도 기술보다 인간이 중요” 모키어 교수는 경제사학자로 역사적 자료를 활용해 장기적인 추세를 탐구했다. 노벨위원회는 지난해 그에게 노벨상을 안기며 “기술 진보를 통해 지속 가능한 성장의 전제 조건을 파악한 공로를 인정했다”고 했다. 이에 AI 혁명이 어떻게 세계를 뒤흔들지는 그가 받는 단골 질문 중 하나다. 그는 “지난 10년 동안 AI가 발전한 속도를 보면, 앞으로 10년 동안 어떤 일이 벌어질지 신(神)만이 알 것”이라면서도 “내가 걱정하는 건 기술 자체가 아니라 그것을 사용하는 인간”이라고 했다.AI가 잘못 쓰이면 강력한 권위주의 체제를 만들거나 사이버 범죄를 양산할 수 있지만 올바른 손에 쓰이면 놀라운 일을 할 수 있다는 게 그의 견해다. 모키어 교수는 본인도 챗GPT나 클로드 같은 AI를 적극 활용한다며 “환상적인 연구 보조 도구”라 했다. 그는 “AI 없이는 발견할 수 없었던 것들을 앞으로 인류가 발견하게 되는 세상이 열릴 것”이라고 했다.☞조엘 모키어2025년 노벨 경제학상 수상자로, 산업 혁명과 기술 혁신의 기원을 연구해온 경제사학자다. 현재 미국 노스웨스턴대 경제학·역사학과 교수로 재직 중이다. 저서 ‘성장의 문화’ 등을 통해 유럽 산업 혁명의 배경으로 ‘개방적인 지식의 시장’과 ‘자유로운 아이디어 경쟁’을 꼽았다. 기술 발전은 단순한 발명이 아니라 과학적 이해와 사회 제도의 결합 속에서 지속적으로 축적된다는 점을 강조해왔다."
2026-05,"롯데멤버스와 서울대, '미래 소비 예측 모델' 개발 위한 업무협약",9시간 전,잡포스트,https://www.job-post.co.kr/news/articleView.html?idxno=216441,[외부 언론사 기사 - 본문 수집 제외]
2026-05,[5월20일 인사종합] 보건복지부 외,2026-05-20 23:02:09,디지털타임스,https://www.dt.co.kr/article/12063605?ref=naver,◆보건복지부◇ 국장급 파견 △ 저출산고령사회위원회 사무처 배경택 ◇ 국장급 전보 △ 복지정책관 김문식◆부산대학교△ 의무부총장 성상민 △ 산학협력단장 이동근 △ 연구처장 이창환 △ 국제처장 김영희 △ 교육혁신본부장 김종덕 △ 언어교육원장 강은지 △ 대학생활원장 이지현 △ 공동실험실습관장 신헌철 △ 학사부처장 정연주 △ 연구부처장 성동기 △ 교육혁신부본부장 손상환
2026-05,유아용품 성장 이유는 '고가 쏠림',11시간 전,어패럴뉴스,http://www.apparelnews.co.kr/news/news_view/?idx=225356,[외부 언론사 기사 - 본문 수집 제외]
2026-05,"정지열, 기본사회 협약 돌봄·주거 정책 공유",12시간 전,국제뉴스,https://www.gukjenews.com/news/articleView.html?idxno=3587955,[외부 언론사 기사 - 본문 수집 제외]
2026-05,"[아주사설│기본·원칙·상식]  AI·반도체 시대, 삼성전자 노조는 자제...",12시간 전,아주경제,https://www.ajunews.com/view/20260520205057041,[외부 언론사 기사 - 본문 수집 제외]
2026-05,[인사] 보건복지부,2026-05-20 20:29:10,세계일보,https://www.segye.com/newsView/20260520517173?OutUrl=naver,보건복지부 ◆국장급 파견 △저출산고령사회위원회 사무처 배경택 ◆국장급 전보 △복지정책관 김문식
2026-05,[20년째 답 못 찾은 '선거구 개혁'] (중) 저출산·고령화 가속…더 어려...,13시간 전,인천일보,https://www.incheonilbo.com/news/articleView.html?idxno=1323368,[외부 언론사 기사 - 본문 수집 제외]
2026-05,[인사] 보건복지부 外,2026-05-20 19:52:18,국민일보,https://www.kmib.co.kr/article/view.asp?arcid=1779257197&code=11111100&cp=nv,◆보건복지부[국장급]◎파견△저출산고령사회위원회 사무처 배경택◎전보△복지정책관 김문식◆한국산업안전보건공단△경영기획이사 김인우◆부산대△의무부총장 성상민△산학협력단장 이동근△연구처장 이창환△국제처장 김영희△교육혁신본부장 김종덕△언어교육원장 강은지△대학생활원장 이지현△공동실험실습관장 신헌철△학사부처장 정연주△연구부처장 성동기△교육혁신부본부장 손상환
